x,y,confidence,frame,joint
771.2234,278.81268,0.98165673,0,nose
804.14685,252.44257,0.96585876,0,left_eye
757.3783,253.15651,0.88706076,0,right_eye
877.89404,273.05994,0.89414126,0,left_ear
0.0,0.0,0.426064,0,right_ear
940.2032,422.67618,0.994134,0,left_shoulder
708.86005,433.7722,0.98535776,0,right_shoulder
928.51666,620.39856,0.9862379,0,left_elbow
621.881,638.3562,0.9334273,0,right_elbow
728.5004,498.53046,0.9811593,0,left_wrist
660.8002,489.6243,0.9252985,0,right_wrist
870.7562,881.8601,0.96444416,0,left_hip
703.5216,876.55005,0.9372911,0,right_hip
0.0,0.0,0.30953595,0,left_knee
0.0,0.0,0.20078512,0,right_knee
0.0,0.0,0.02544167,0,left_ankle
0.0,0.0,0.019429166,0,right_ankle
769.8021,277.44522,0.98215055,1,nose
803.06744,251.49417,0.9666519,1,left_eye
756.3124,251.59685,0.8903214,1,right_eye
876.9053,273.08307,0.895947,1,left_ear
0.0,0.0,0.43563315,1,right_ear
940.07574,421.92502,0.9943363,1,left_shoulder
704.9852,431.79666,0.98602366,1,right_shoulder
927.7216,622.51,0.98633134,1,left_elbow
615.7196,637.67175,0.9350739,1,right_elbow
728.3946,500.03174,0.98112845,1,left_wrist
663.0267,486.68225,0.9262601,1,right_wrist
871.7311,881.9469,0.9646761,1,left_hip
702.46576,876.6839,0.9380964,1,right_hip
0.0,0.0,0.30951917,1,left_knee
0.0,0.0,0.20178242,1,right_knee
0.0,0.0,0.02529253,1,left_ankle
0.0,0.0,0.019374456,1,right_ankle
768.31244,275.71536,0.9827434,2,nose
801.6034,250.03596,0.96745527,2,left_eye
754.6371,250.46553,0.8944121,2,right_eye
875.0717,272.98618,0.89665985,2,left_ear
0.0,0.0,0.4466847,2,right_ear
938.8136,421.2295,0.9944981,2,left_shoulder
702.8045,431.0711,0.98654294,2,right_shoulder
927.42224,622.8225,0.9864634,2,left_elbow
612.369,636.61035,0.93700707,2,right_elbow
731.2572,502.39902,0.98124415,2,left_wrist
662.87054,485.28903,0.92803866,2,right_wrist
872.0158,881.8565,0.9650492,2,left_hip
702.18634,876.8743,0.9391118,2,right_hip
0.0,0.0,0.31045318,2,left_knee
0.0,0.0,0.20352387,2,right_knee
0.0,0.0,0.025338352,2,left_ankle
0.0,0.0,0.019494934,2,right_ankle
767.79456,275.95212,0.9829159,3,nose
800.91565,249.85876,0.96767086,3,left_eye
753.7134,250.66864,0.89565164,3,right_eye
874.29565,272.04657,0.8966453,3,left_ear
0.0,0.0,0.44996852,3,right_ear
938.1636,421.1277,0.9945397,3,left_shoulder
702.0762,431.23682,0.9867073,3,right_shoulder
925.9451,623.59174,0.9864884,3,left_elbow
611.081,637.8091,0.93743867,3,right_elbow
730.2391,501.2307,0.9812299,3,left_wrist
663.6077,485.91394,0.9284518,3,right_wrist
871.448,881.5664,0.9651351,3,left_hip
701.76086,876.7024,0.9393731,3,right_hip
0.0,0.0,0.3111899,3,left_knee
0.0,0.0,0.20431042,3,right_knee
0.0,0.0,0.025354544,3,left_ankle
0.0,0.0,0.019528754,3,right_ankle
766.9279,276.2895,0.9823292,4,nose
800.02026,249.94363,0.96690893,4,left_eye
752.7583,251.06035,0.8921571,4,right_eye
874.3244,271.43958,0.8958764,4,left_ear
0.0,0.0,0.44311213,4,right_ear
938.3308,421.2555,0.99440855,4,left_shoulder
702.98474,430.77808,0.98658216,4,right_shoulder
922.68317,625.63055,0.9860239,4,left_elbow
611.32294,633.72424,0.9359161,4,right_elbow
731.5138,497.85654,0.98025435,4,left_wrist
662.5051,456.85062,0.9250216,4,right_wrist
870.4347,880.9717,0.96433264,4,left_hip
701.4701,875.7472,0.93785244,4,right_hip
0.0,0.0,0.3117509,4,left_knee
0.0,0.0,0.20444466,4,right_knee
0.0,0.0,0.025512619,4,left_ankle
0.0,0.0,0.01976184,4,right_ankle
766.3323,276.65488,0.98244894,5,nose
799.44916,250.12065,0.9671299,5,left_eye
751.9552,251.00848,0.8935004,5,right_eye
873.1829,271.14935,0.89648056,5,left_ear
0.0,0.0,0.44867575,5,right_ear
936.8952,421.25934,0.9944776,5,left_shoulder
701.50653,430.86047,0.9868804,5,right_shoulder
921.26355,626.4055,0.98591125,5,left_elbow
611.2814,632.83514,0.9359411,5,right_elbow
732.7022,497.119,0.9797723,5,left_wrist
660.82416,448.4045,0.92369306,5,right_wrist
870.17523,880.3173,0.9644292,5,left_hip
701.5267,875.36444,0.9381319,5,right_hip
0.0,0.0,0.31341007,5,left_knee
0.0,0.0,0.20598166,5,right_knee
0.0,0.0,0.0256823,5,left_ankle
0.0,0.0,0.019929817,5,right_ankle
765.41693,276.40964,0.9832387,6,nose
798.6162,249.85364,0.96824116,6,left_eye
750.90967,250.71634,0.89843464,6,right_eye
872.1144,271.40717,0.89797217,6,left_ear
0.0,0.0,0.46144953,6,right_ear
935.99084,422.87888,0.994669,6,left_shoulder
